,power
0,232121329
1,210251198
2,185481549
3,172920957
4,138142799
5,133769059
6,120589169
7,119994587
8,117629225
9,115850966
10,113924161
11,112011670
12,111896982
13,109355709
14,108343093
15,105957451
16,104897061
17,104394460
18,103667014
19,103238628
20,97238265
21,95447355
22,95100539
23,93711914
24,93649529
25,93526660
26,92751272
27,92683595
28,92447429
29,92091843
30,92000406
31,91998072
32,91003491
33,89902628
34,89400209
35,89388048
36,88639824
37,88023135
38,87421585
39,87374327
40,86699373
41,86673064
42,86588347
43,86323725
44,85987738
45,85405019
46,85313454
47,83985499
48,83697029
49,83332694
50,83172389
51,83113979
52,82943415
53,81789289
54,81572148
55,81536144
56,80912492
57,80288296
58,79785897
59,79622736
60,79315949
61,79293240
62,79180665
63,79100418
64,78831503
65,78754863
66,78727338
67,78609147
68,78018414
69,77630673
70,76049585
71,75974091
72,75908363
73,75826668
74,75679687
75,75191451
76,75115685
77,75104851
78,74876147
79,74206338
80,73972696
81,73733464
82,73624679
83,73619119
84,73543786
85,73492824
86,73142707
87,73032659
88,72579950
89,72525537
90,72472249
91,72213010
92,72110010
93,72098148
94,72026073
95,72017227
96,72002761
97,71826534
98,71763801
99,71602404
100,71434367
101,71113638
102,71103737
103,71052674
104,70923909
105,70836521
106,70595964
107,70383189
108,70382439
109,70339151
110,70207239
111,69873260
112,69862433
113,69798090
114,69598638
115,69302462
116,68907610
117,68855805
118,68770032
119,68669035
120,68648782
121,68619013
122,68601263
123,68566086
124,68427119
125,68390546
126,68337385
127,68336307
128,68253935
129,68202490
130,67736681
131,67728142
132,67619568
133,67456029
134,67436919
135,67393002
136,67304045
137,67296193
138,67232980
139,66778288
140,66723124
141,66515722
142,66259423
143,66187594
144,66147242
145,66128772
146,66024680
147,65762950
148,65711318
149,65692123
150,65689081
151,65428365
152,65421969
153,65382127
154,65381688
155,65350529
156,65234165
157,65177059
158,65131998
159,65006922
160,64937839
161,64772859
162,64628240
163,64617490
164,64516747
165,64505161
166,64495127
167,64459829
168,64394482
169,64356569
170,64351493
171,64273184
172,64163913
173,64139394
174,64127204
175,64111428
176,64088926
177,64040624
178,63903528
179,63828531
180,63808797
181,63365981
182,63336779
183,63012336
184,63009389
185,62940947
186,62930395
187,62912078
188,62845681
189,62805190
190,62782706
191,62733796
192,62709105
193,62698418
194,62654828
195,62611604
196,62550237
197,62477526
198,62437768
199,62437742
200,62408806
201,62397293
202,62234046
203,62132063
204,62078728
205,61984303
206,61884765
207,61845716
208,61836980
209,61659141
210,61630708
211,61577689
212,61557993
213,61428978
214,61151305
215,60960288
216,60953891
217,60908399
218,60902560
219,60714291
220,60685770
221,60611898
222,60575540
223,60566424
224,60502948
225,60454731
226,60438515
227,60401420
228,60368463
229,60337834
230,60300709
231,60294610
232,59996438
233,59987569
234,59956322
235,59952008
236,59945720
237,59907289
238,59885140
239,59842272
240,59698005
241,59612122
242,59581674
243,59563867
244,59518536
245,59477519
246,59452521
247,59414923
248,59407285
249,59356404
250,59350570
251,59350130
252,59315533
253,59306175
254,59195801
255,59155541
256,59057229
257,58934689
258,58928908
259,58894362
260,58887115
261,58884889
262,58848971
263,58728137
264,58699817
265,58672306
266,58640715
267,58632341
268,58622891
269,58558767
270,58375389
271,58266148
272,58168275
273,58111833
274,58073600
275,57992317
276,57960467
277,57950230
278,57889296
279,57870417
280,57633869
281,57582012
282,57545282
283,57373987
284,57299701
285,57057893
286,57023677
287,57015494
288,56952703
289,56938573
290,56935774
291,56914015
292,56900253
293,56899295
294,56841265
295,56836761
296,56833690
297,56807148
298,56793420
