,power
1,348577755
2,151808182
3,149062992
4,134851221
5,134851221
6,130912487
7,123616481
8,120975899
9,120220876
10,118023882
11,110255969
12,105196487
13,105169399
14,104192942
15,102535279
16,100778177
17,100049420
18,96712289
19,92420601
20,92074481
21,91884792
22,91579989
23,91491890
24,91305706
25,91091890
26,90934201
27,90643121
28,90509570
29,89461696
30,89308113
31,89255717
32,87589220
33,87124702
34,86295524
35,85878113
36,85877025
37,85577025
38,85561599
39,84488405
40,84295524
41,84192783
42,84182737
43,83554219
44,83482277
45,83458643
46,83243818
47,83243618
48,82561599
49,81561599
50,81431545
51,81174894
52,81021360
53,80965362
54,80793508
55,80765739
56,80515629
57,80507113
58,80094311
59,79841815
60,79689416
61,79662558
62,79381466
63,79199853
64,79199653
65,79030550
66,78846130
67,78452534
68,77895660
69,77615516
70,77568816
71,77545604
72,77393720
73,77220816
74,76676955
75,76670461
76,76609393
77,76097018
78,75956477
79,75906807
80,75781727
81,75435201
82,75204864
83,75189901
84,75027374
85,74728853
86,74471102
87,74426882
88,74386648
89,74364559
90,74247404
91,74068895
92,73728263
93,73628003
94,73310073
95,73210189
96,72877783
97,72791339
98,72780826
99,72588572
100,72493998
101,72491339
102,72376447
103,71906807
104,71689329
105,71662660
106,71555050
107,71351941
108,71250924
109,71174730
110,71174710
111,71156941
112,71108119
113,71105119
114,71053911
115,70528919
116,70525919
117,70283879
118,70184477
119,70101833
120,69941543
121,69895742
122,69697534
123,69696995
124,69670772
125,69397474
126,69287851
127,69182391
128,68988707
129,68986707
130,68838063
131,68583218
132,68583018
133,68566107
134,68372299
135,68214517
136,68051818
137,68049142
138,67764883
139,67730160
140,67714883
141,67703917
142,67691076
143,67642545
144,67128262
145,66822606
146,66722158
147,66615812
148,66615612
149,66465159
150,66290521
151,66290511
152,66280089
153,66096525
154,66050706
155,65976307
156,65879219
157,65677471
158,65611787
159,65408364
160,65179219
161,65079219
162,64732774
163,64709277
164,64542204
165,64423423
166,64360600
167,64242537
168,64216347
169,64103892
170,64083372
171,64050243
172,64050241
173,64021203
174,63983904
175,63953266
176,63758475
177,63658898
178,63658896
179,63551101
180,63066513
181,62922239
182,62724956
183,62572920
184,62570532
185,62562624
186,62526933
187,62307014
188,62187509
189,62147769
190,62015340
191,61867311
192,61725381
193,61662005
194,61531537
195,61458639
196,61424083
197,61337193
198,61280089
199,61207710
200,61131537
201,60902089
202,60884743
203,60744590
204,60630014
205,60510173
206,60356141
207,60153445
208,60153345
209,60060586
210,60051347
211,59993380
212,59988123
213,59952908
214,59920566
215,59836485
216,59637011
217,59591443
218,59579533
219,59549438
220,59549138
221,59521849
222,59516451
223,59489011
224,59430227
225,59345003
226,58915308
227,58860941
228,58715528
229,58613170
230,58585574
231,58585190
232,58362324
233,58351182
234,57847283
235,57840858
236,57840658
237,57830888
238,57766500
239,57589220
240,57533846
241,57533840
242,57432097
243,57381769
244,57347322
245,57266500
246,57246500
247,57187842
248,57011138
249,57004245
250,56879624
251,56758270
252,56704404
253,56606672
254,56601382
255,56576748
256,56554958
257,56505839
258,56404645
259,56173800
260,56136653
261,56064499
262,55953530
263,55823879
264,55746032
265,55684662
266,55657714
267,55595148
268,55595108
269,55537931
270,55506652
271,55355596
272,55169633
273,54996441
274,54878598
275,54567354
276,54550929
277,54380734
278,54182737
279,53942386
280,53942385
281,53850683
282,53834137
283,53758817
284,53469926
285,53112704
286,52989547
287,52973847
288,52942574
289,52852903
290,52837017
291,52546170
292,52442381
293,52417963
294,52192991
295,52113921
296,51987210
297,51868162
298,51785716
299,51694526
total,21242551640
