NAME,POWER,KILLS,VIC,DEAD,ASSIST,HELP
DetonaTor,108074231,212419661,42169,2312287,618899602,21115
Boobiecat,95171524,78679877,37469,2241130,1463349787,9592
Possibletuna,92602284,179633279,44500,3394161,900884499,33278
Neussie,81286862,50577541,31901,2206990,1443781717,25459
SethXz,80303979,242890374,25997,5829539,3841733131,13521
FdsterBear,70856126,68743002,55114,2434728,1778624337,37712
scarycookie,70538354,40628750,33744,1248452,824249147,33372
kilLeriTr,70141078,57482001,35295,439558,433008109,31421
RabidRatel,69970525,33023053,30321,2223825,1128261188,33431
Filala,69019648,53762041,40057,2708319,388712846,30257
leoss,65831670,59658767,52618,360476,322230975,34720
XtsT,63190666,225175618,56282,3892766,1892181310,16059
XKillershark,61997724,22951694,31061,682627,37396405,18003
Toyz,61569930,51211571,27853,732147,1885184002,27267
Spoonvil,60635451,57163950,43790,863652,540885523,31073
BadtotheBone,60055368,6356992,45531,338535,659148916,28389
HuatBaby,59897778,15511778,49534,638475,284924523,17391
iiFearlessii,59437022,2555265,23922,594486,1365507908,20592
ikroikes,57920356,30676967,39940,485885,824196177,31363
Dogpatch,57011111,13968637,30608,1264903,457261582,24693
SHiNA,56616500,8100007,13135,504283,924804170,23201
FenrisFiswolf,55449278,38423061,25351,490511,521281567,15051
iidadogii,54077104,9206808,17068,628759,271233307,16218
KlarO,51930652,56827309,35450,649070,304409097,63477
Pecht,50741700,39521679,27711,1436914,816772127,40381
Youpibaby,50720586,32624081,37931,1041448,246986838,27226
RathTG,50662394,9502381,35356,709164,1514752296,21243
indyGorilla,50109078,57434406,49619,2956210,2611686343,21975
XPunisher,49968214,27308157,32242,99864,1983321266,9772
Pityperfrctony,49653490,15662320,35599,1513672,1376418501,63791
Debtor,49321849,34348136,25677,875719,1307620547,26674
centuryTuna,48840446,28202828,37828,962744,1855591180,35769
ARiES,48557970,19831060,28265,1550869,844023828,16657
Kohai,48294284,20495253,22943,1051067,1121252578,8848
iNeverSayi,48253570,117161770,83981,2570663,2520078886,40311
chillaouisG,48075533,41875709,47102,1025885,1080927715,25677
Sauronss,47532535,27814351,33802,981958,1194201941,17947
Talleywackers,47389747,6470779,32173,800664,1412203044,31434
DooDoo,47358407,5223294,20794,1076677,1323895973,38728
duiceSSG,46649423,13845167,27560,736469,338757639,18089
ainain,46413838,13236179,28331,706292,603972385,73092
Phuriouz,46347361,86062710,33923,1812541,238629543,17494
Mavericksss,46091928,4419951,64297,1745242,1085380899,28970
PrincessLina,45686237,12473461,56318,865317,1311383823,65367
Minokitsu,44895931,46311207,32931,1858580,455746855,42089
MarshallKid,44852984,6471200,36182,816329,609290544,40890
YAKiDropbear,44801058,13701680,34985,1344356,1344827982,28520
NelL,44441715,4263595,26515,446659,553478187,41967
BoRieL,44339839,17386859,36443,558235,219920000,29477
Suchaess,44157031,54007682,42791,1400901,1023427995,29911
KyloRenis,43779744,19402575,29289,914627,509881191,15288
LqPin,43696617,12794212,35844,722394,1735056128,18850
SparHawkls,43104810,36031295,26653,1231090,1545000000,41600
BaionetaBR,42577989,11775258,20427,348004,272768000,26560
velaryontS,42337522,16192718,23675,138660,199925610,16352
Ginnerss,42255978,3714711,18818,311527,466759374,18787
hadOken,41972140,21302658,38969,521962,143284372,23102
crazyDocTor,41969955,9022692,26215,349327,976513128,23163
Bururo,41890941,35374671,19673,427595,1660775457,37912
iXFaDedPandaXi,41806327,37532235,12771,876099,373022722,13436
YUii,41641293,15362424,36628,289432,939980000,27327
iaGoldfish,41427891,10046825,12933,493512,1610291314,34108
BBaby,41318466,78845512,23550,1005288,146832384,14841
iNDAra,41187981,37211257,26612,614859,298179153,13256
MasonGray,41012316,19356562,18996,641807,241030762,17825
contuerorotOl,40995478,203308667,53992,278153,147479503,26408
Stella,40219875,10103224,22009,1519652,594663827,25098
SavegeD,39998671,6135015,21640,262411,326724675,17216
LaTaRusS,39758189,14260312,16250,799934,32847083,5635
Keta,39729681,11271978,31914,297955,240713309,25005
crazyGorilla,39709978,3382379,15286,219735,370393374,12105
verlza,39705241,4572297,61458,1322573,2619051668,24590
LiliTheLynX,39437874,21437953,21735,685160,395496971,31617
OldTule,39385473,5912189,30822,1012979,503776941,19101
DdHanSolo,39360461,23509882,25312,1349920,2352964492,24369
BiliBili,39149887,14814937,23634,791697,261000000,18957
RoscoTi,38821268,4959979,21005,472902,713663163,18880
iaTadpole,38804278,2071031,10064,110123,355040308,15492
decisloth,38674731,67204217,38407,2564350,3102955962,54007
Rajacholi,38659724,3985778,33370,625438,338670758,39531
iMoei,38253726,40891476,24675,989502,372708473,22401
cassin,38196720,29596051,24393,987915,269228676,21479
Dannski,37722830,29270342,24304,924937,763787921,13421
asalts,37381515,4572787,5111,338081,133593055,19807
Rraget,37130962,23125202,29820,1319277,287411103,22358
ThreatenerDo,37052127,27421698,19927,377143,517465713,12690
Sithfresh,37004826,10639250,27045,391537,1142614128,9825
NaNil,36946360,21332173,17285,521278,186842054,22667
AcceleratorTH,36876940,3394713,10505,133017,455658525,8392
Kisssi,36736384,16037583,27782,981758,1596078074,45240
esleyts,36689233,7905839,18670,1037352,352636622,17646
Nyantaro,36631380,5251043,18202,420502,401701545,14423
UaeX,36513838,20655067,14116,1374530,544427159,24635
OhShiT,36380396,3134996,23910,789068,124347091,20298
PirateCode,36375522,25837502,35999,2362101,601532131,26924
RwinBabYdS,36279776,4504849,28611,1509711,709328372,24625
MonkeyDRuffy,35767209,2956029,13965,373714,434040767,9015
aXoen,35599295,19137307,19195,1059551,2585666438,26565
kenoshiiii,35356653,4115798,7289,746272,231500001,7367
Zocy,35226230,3366588,6989,287725,343809781,15728
ZeroThree,35212612,102587,16136,682196,190736709,15788
Sheikh,35147999,10530175,25929,587801,566551934,37887
GeMz,35101897,20450446,28897,1456616,1097678961,17734
PendingDisaster,35098828,21431750,33904,1906406,793016374,21834
XXUchihaXX,35038236,17183119,27403,1703127,62949474,17819
AlpaTes,34875749,6092535,17328,280883,1550651986,31309
FXOt,34811140,15655927,35074,833019,667131850,28988
Moon,34754866,7899862,19496,1098693,525245374,4071
XXicedGeXX,34696368,7532073,16411,398953,197157278,11102
Doga,34586706,4228152,11307,324406,311873556,12330
Kazuotoinoto,34221197,3221831,12161,204228,159331757,19469
reolr,34082580,3054300,18693,1411524,340094716,16988
NadrojXco,33844583,3378125,11823,464336,43045750,15421
Androidas,33680792,12569688,17352,1304516,1613462138,27852
Skrapabullan,33564389,7624360,16398,910602,505000000,21205
NippleCat,33529939,10317008,21386,1871810,570694210,23984
SaltBae,33517355,2740858,20457,270000,352218798,14231
lKyKyshKal,33422230,6610636,23883,1131296,374297355,12166
Maapanda,33294133,6504627,16765,435444,162722725,24872
ssspoker,33117497,6091313,39855,789348,645477894,33188
GDiATORpower,33069251,18058142,32905,817753,215235189,18002
TeXtbookdake,32988588,4855710,9635,706974,69536614,5594
Friendlyyy,32980129,15717984,15377,668263,1396977714,14881
MrKerie,31906973,23702611,18437,723949,510631306,28948
gio,31796509,7837755,18886,1370862,184850516,16350
chis,31676388,2649941,14732,514283,68573790,11332
BlackolFF,31630298,14031105,12902,975342,405355633,14085
gooogol,31617650,6276339,16723,585794,167656666,16414
kingoy,31585423,5093471,21007,1017174,259681668,17180
iXiFifTyiXi,31429834,4615252,17175,665081,261537722,13256
TukaLo,31393571,28512734,18841,530936,2387882731,28850
htds,31380707,16187833,16898,507084,738637716,18171
